FECHA_CORTE,FECHA_REGISTRO,ID_DOC_DENUNCIA,UBIGEO,DEPARTAMENTO,PROVINCIA,DISTRITO,TIPO_DE_DENUNCIA,SITUACION_DENUNCIA,TIPO,SUBTIPO,MODALIDAD,FECHA_HECHO,HORA_HECHO,UBICACION,DESCRIPCION,FECHA_NACIMIENTO,EDAD_PERSONA,SEXO,ESTADO_CIVIL,GRADO_INSTRUCCION,OCUPACION,PAIS_NATAL,MES,LONGITUD,LATITUD
2024-04-25,2024-02-21,cad73aca4e901e887335694279485ec5e31c5c68a40294c4bee09ad4da3efda4,70101,CALLAO,CALLAO,CALLAO,DENUNCIA,RESUELTA,VIOLENCIA A MUJERES Y GGVV,VIOLENCIA A MUJERES Y GGVV,VIOLENCIA PSICOLOGICA,2024-02-20,2020,MZ 34 LT L AAHH JOSE OLAYA DULANTO CALLAO,DULANTO,2020-09-09,3,MASCULINO,NO INDICA,NO INDICA,NO INDICA,PERU,202402,-77.12385999,-12.05053433
2024-04-25,2024-02-07,2858e6b3b671e0e66ae88d71dda4cf343f82ceb46c440bfd39cd7d60446fa152,70101,CALLAO,CALLAO,CALLAO,DENUNCIA,RESUELTA,PATRIMONIO,HURTO,HURTO DE VEHICULO,2024-02-07,1500,AV GAMARRITA CUADRA 2 BARRIO CHUCUITO,LA PUNTA,1967-11-02,56,FEMENINO,SOLTERO,NO INDICA,NO INDICA,PERU,202402,-77.153548,-12.0642673
2024-04-25,2024-02-01,44bcc79242e2a3a9a3e2c7bbacbaf2584865bc5b59864394e98505fdb8210cdb,70106,CALLAO,CALLAO,VENTANILLA,DENUNCIA,RESUELTA,VIOLENCIA A MUJERES Y GGVV,VIOLENCIA A MUJERES Y GGVV,VIOLENCIA PSICOLOGICA,2024-01-31,30,MZ.O LOTE 01 AA.HH SAN MARTIN DE PORRES-PACHACUTEC,PACHACUTEC,2009-10-26,14,FEMENINO,NO INDICA,NO INDICA,NO INDICA,PERU,202402,-77.1344784,-11.9338109
2024-04-25,2024-02-23,f1cc3f806457cfa3351fb62984c0b35bc4a41949fc3ad34ce1812a3eb3ac59ec,70101,CALLAO,CALLAO,CALLAO,INTERVENCION,RESUELTA,PATRIMONIO,HURTO,HURTO DE ACCESORIOS Y AUTOPARTES DE VEHICULOS,2024-02-23,1930,AV CONDE DE LEMOS REF COND VILLA BONITA 4,LA LEGUA,1985-11-13,38,MASCULINO,SOLTERO,NO INDICA,NO INDICA,PERU,202402,-77.09185277,-12.04940708
2024-04-25,2024-02-21,da123f1ab79ce1322104d23d1a0b28e92d0504847305e3eeca6b1189778e6321,70101,CALLAO,CALLAO,CALLAO,INTERVENCION,RESUELTA,PATRIMONIO,ROBO,ROBO AGRAVADO,2024-02-20,2100,AV ALAMEDA REF PAROQUIA NUESTRA SEORA DEL ROSARIO,RAMON CASTILLA,2009-01-07,15,MASCULINO,NO INDICA,NO INDICA,NO INDICA,PERU,202402,-77.119971,-12.0423628
2024-04-25,2024-02-25,4630864df5c342304ef6a3be888e4126852c55703a5551429360ecf606c5b339,70101,CALLAO,CALLAO,CALLAO,DENUNCIA,PENDIENTE,PATRIMONIO,HURTO,HURTO DE VEHICULO,2024-02-25,200,STA. MARINA SUR BLOCK 2 DPTO. 208 CALLAO,CALLAO,1987-07-30,36,MASCULINO,SOLTERO,NO INDICA,EMPLEADO,PERU,202402,-77.12656856,-12.05429146
2024-04-25,2024-02-23,f4c45214ab6722980e6134b7d81a08b95de23e78e4bb76d7036f836be5aec698,70101,CALLAO,CALLAO,CALLAO,OCURRENCIA,PENDIENTE,PATRIMONIO,HURTO,HURTO DE CELULAR,2024-11-22,1400,INSTALACIONES DEL COLEGIO INGUNZA,JUAN INGUNZA VALDIVIA,2007-08-23,16,MASCULINO,NO INDICA,NO INDICA,NO INDICA,PERU,202402,-77.09857715,-12.0118982
2024-04-25,2024-02-22,417613f37a442578ceded05daa9a482f8cb3c5ae4b5597cc1a5c357eba2ceed4,70101,CALLAO,CALLAO,CALLAO,DENUNCIA VERBAL,RESUELTA,PATRIMONIO,HURTO,HURTO DE VEHICULO,2024-02-22,300,ASENT H SARITA COLONIA PRIMER SECTOR MZ Z LT 13 CALLAO,SARITA COLONIA,1900-01-01,124,FEMENINO,SOLTERO,SECUNDARIA,INDEPENDIENTE,PERU,202402,-77.13294549,-12.0221327
2024-04-25,2024-02-02,9737d0ca0aaf8d626bff379971acd9d32b854d3b96c3d6efab0cae5844505547,70101,CALLAO,CALLAO,CALLAO,DENUNCIA,RESUELTA,PATRIMONIO,ROBO,ASALTO Y ROBO DE VEHICULOS,2024-02-01,1600,AV SALON REF PASANDO  POZO CALLAO,DEPROVE - CALLAO,2003-01-04,21,MASCULINO,SOLTERO,SECUNDARIA,ESTUDIANTE,PERU,202402,-77.1142508,-12.0544177
2024-04-25,2024-02-08,f8a8da4ffaab2952dabde547d61f1ffa35e311975e9978f91b202a6f48d9ae71,70101,CALLAO,CALLAO,CALLAO,DENUNCIA,RESUELTA,PATRIMONIO,ROBO,ROBO AGRAVADO A MANO ARMADA,2024-02-08,1315,AV. QUILCA FRONTIS (MERCADO 3 DE ENERO PUERTA 09),BOCANEGRA,1998-10-29,25,MASCULINO,SOLTERO,SECUNDARIA,NO INDICA,PERU,202402,-77.09476617,-12.02756313
2024-04-25,2024-02-27,2386f7d3fb321ce37d2604b1f0fbd33532e02aeb598582bf683be156f2c26e5d,70101,CALLAO,CALLAO,CALLAO,INTERVENCION,PENDIENTE,PATRIMONIO,ROBO,ASALTO Y ROBO DE VEHICULOS,2024-02-27,215,PERU CON AV TOMAS VALLE CALLAO,DEPROVE - CALLAO,1987-10-19,36,MASCULINO,SOLTERO,SECUNDARIA,NO INDICA,PERU,202402,-77.09694636,-12.01231796
2024-04-25,2024-02-21,0a74ec66acad63fe408759a8924a7744ac5789a9cc1c15c8307049fd94397cb3,70101,CALLAO,CALLAO,CALLAO,DENUNCIA,PENDIENTE,PATRIMONIO,ROBO,ROBO AGRAVADO,2024-02-21,320,JR. LAZARETO CON EL JR. ATAHUALPA CALLAO,CALLAO,2000-12-02,23,MASCULINO,SOLTERO,SECUNDARIA,NO INDICA,PERU,202402,-77.1362325,-12.0560337
2024-04-25,2024-02-14,ade322a204cc395b83206e2f42fff3a2834edf1319359366a1336a50bc6f3a7d,70101,CALLAO,CALLAO,CALLAO,DENUNCIA,RESUELTA,VIOLENCIA A MUJERES Y GGVV,VIOLENCIA A MUJERES Y GGVV,VIOLENCIA PSICOLOGICA,2024-02-14,42,URB RAMON CASTILLA MZ R2 LT 41 AV MORALES DUAREZ,RAMON CASTILLA,2002-01-08,22,MASCULINO,SOLTERO,SECUNDARIA,NO INDICA,PERU,202402,-77.1007904,-12.0474332
2024-04-25,2024-02-20,b45e16511c3d637dc127c0ac7109a0ed167c6325b6dfa34e8124a3a022c58d6e,70101,CALLAO,CALLAO,CALLAO,DENUNCIA VERBAL,RESUELTA,PATRIMONIO,ROBO,ROBO AGRAVADO,2024-02-19,1600,AV CONTRALMIRANTE MORA  CALLAO 07001,CIUDADELA CHALACA,1976-09-28,47,FEMENINO,SOLTERO,SECUNDARIA,NO INDICA,PERU,202402,-77.13405668,-12.05104288
2024-04-25,2024-02-21,64369f8cb17f77d17b97d89f0f1460c9026d2a8210e5c172c5685657705d44dd,70101,CALLAO,CALLAO,CALLAO,DENUNCIA,RESUELTA,PATRIMONIO,ROBO,ROBO AGRAVADO,2024-02-21,1035,CALLE PEDRO LUNA  ENTRE LA MZ. S Y MZ. T DEL ASENT. H. BELLA UNION,DULANTO,1980-06-15,43,FEMENINO,SOLTERO,SECUNDARIA,TECNICO EN ENFERMERIA,PERU,202402,-77.1135489,-12.0459346
2024-04-25,2024-02-05,9fdd4d7d089cec5cad56c86c59507743dbe0d7ed8d74e3a50e066c45ab8586e3,70101,CALLAO,CALLAO,CALLAO,DENUNCIA,RESUELTA,PATRIMONIO,ROBO,ROBO AGRAVADO,2024-02-05,850,TACNA 24  CALLAO 07026  PERU,RAMON CASTILLA,1999-10-11,24,FEMENINO,SOLTERO,SECUNDARIA,NO INDICA,PERU,202402,-77.12446975,-12.04198191
2024-04-25,2024-02-01,d031d94eb57d61806ed5c6b2a14ee9256291f499638fe9a4876f926f6d13810c,70101,CALLAO,CALLAO,CALLAO,DENUNCIA,RESUELTA,PATRIMONIO,ROBO,ROBO AGRAVADO,2024-01-31,1320,CALLE DELTA 142,LA LEGUA,1995-03-18,28,MASCULINO,SOLTERO,SECUNDARIA,NO INDICA,PERU,202402,-77.08799201,-12.05095166
2024-04-25,2024-02-24,8a6030ac84a3165db9d55935637615dbc22d3eb68571069fb5595eeea5ee1851,70101,CALLAO,CALLAO,CALLAO,INTERVENCION,PENDIENTE,PATRIMONIO,ROBO,ROBO AGRAVADO,2024-02-24,1840,PASAJE JB DE LA UR. FAUCETT CALLAO,SARITA COLONIA,1991-01-25,33,FEMENINO,SOLTERO,SECUNDARIA,NO INDICA,PERU,202402,-77.12251933,-11.99304622
2024-04-25,2024-02-28,f8db328a996c75ce8312a7ea3e959c2b22a26a6b54f64fde59d8adfc696705a3,70101,CALLAO,CALLAO,CALLAO,DENUNCIA VERBAL,PENDIENTE,PATRIMONIO,ROBO,ROBO,2024-02-27,1800,AV NESTOR GAMBETTA CALLAO REF PARADERO JUAN PABLO II,SARITA COLONIA,2001-05-15,22,FEMENINO,SOLTERO,SECUNDARIA,NO INDICA,PERU,202402,-77.1286656,-12.0253793
2024-04-25,2024-02-01,ff4c35770bff862693c7c574cd26f3cce4f53d9284a7a73004b882ac6dccb824,70101,CALLAO,CALLAO,CALLAO,DENUNCIA,PENDIENTE,DELITOS INFORMATICOS,DELITOS INFORMATICOS CONTRA EL PATRIMONIO,FRAUDE INFORMATICO,2024-02-27,1920,PSJE PUCARA 191 URB SAN JUAN MACIAS CALLAO,JUAN INGUNZA VALDIVIA,1989-10-26,34,FEMENINO,SOLTERO,NO INDICA,NO INDICA,PERU,202402,-77.11751313,-12.00266475
2024-04-25,2024-02-01,8d226ab2b219f28970c5c21b245fe91422647946e54e72e4e7de4f83c861e431,70101,CALLAO,CALLAO,CALLAO,DENUNCIA,PENDIENTE,DELITOS INFORMATICOS,DELITOS INFORMATICOS CONTRA EL PATRIMONIO,FRAUDE INFORMATICO,2024-02-27,1920,PSJE PUCARA 191 URB JUAN MACIAS CALLAO,JUAN INGUNZA VALDIVIA,1989-10-26,34,FEMENINO,SOLTERO,NO INDICA,NO INDICA,PERU,202402,-77.12103219,-12.00409196
2024-04-25,2024-02-29,1be71045d901a5531382a12154256425a605f30bdf3fb1f8df0b7ff433ac3ee4,70101,CALLAO,CALLAO,CALLAO,INTERVENCION,PENDIENTE,SEGURIDAD PUBLICA,PELIGRO COMUN,FABRICACION  SUMINISTRO O TENENCIA DE MATERIALES PELIGROSOS (ARMAS  EXPLOSIVOS),2024-02-28,2035,JR COLON 222  CALLAO,DEPINCRI CALLAO/LA PUNTA,2005-01-13,19,MASCULINO,SOLTERO,NO INDICA,NO INDICA,PERU,202402,-77.0875414,-12.0510356
2024-04-25,2024-02-28,c0a64fed2490e68e7ab122f630d64286478b9aabbd0af00028c85115db14cdf9,70102,CALLAO,CALLAO,BELLAVISTA,INTERVENCION,RESUELTA,SEGURIDAD PUBLICA,PELIGRO COMUN,CONDUCCION EN ESTADO DE EBRIEDAD O DROGADICCION,2024-02-26,150,AV HAYA DE LA TORRE CON CALLE 2A,CIUDAD DEL PESCADOR,2003-06-06,20,MASCULINO,SOLTERO,NO INDICA,NO INDICA,PERU,202402,-77.10664411,-12.05739126
2024-04-25,2024-02-13,23987926b85c65f4f64083398561a0cbc4117aa53dd2e65b20f7444587894999,70101,CALLAO,CALLAO,CALLAO,DENUNCIA,RESUELTA,PATRIMONIO,ROBO,ROBO AGRAVADO A MANO ARMADA,2024-02-12,1145,CENTRAL CON LA CALLE VILLEGAS,DEPINCRI BELLAVISTA/LA PERLA/C.DE LA LEGUA,1987-03-09,36,FEMENINO,SOLTERO,SECUNDARIA,NO INDICA,PERU,202402,-77.0913747,-12.0150426
2024-04-25,2024-02-21,e02fae013e0f2c91e496d03e684fdf92bef8be0db788eddc435178fbdbe98930,70101,CALLAO,CALLAO,CALLAO,DENUNCIA,RESUELTA,PATRIMONIO,ROBO,ROBO,2024-02-21,1900,AV. QUILCA Y PACASMAYO CALLAO.,BOCANEGRA,1999-09-23,24,MASCULINO,SOLTERO,SECUNDARIA,ESTUDIANTE,PERU,202402,-77.09209323,-12.022847
2024-04-25,2024-02-20,186a4f1215ba6e16df2d82f9c0a4cc5d10db5c63f440fcb768ef4e1dd19872e1,70101,CALLAO,CALLAO,CALLAO,DENUNCIA,RESUELTA,PATRIMONIO,ROBO,ROBO,2024-02-19,630,AV. EL OLIVAR COLEGIO RAMIRO PRIALE URB. PREVI CALLAO,BOCANEGRA,2002-11-10,21,FEMENINO,SOLTERO,SECUNDARIA,ESTUDIANTE,PERU,202402,-77.0913747,-12.0150426
2024-04-25,2024-02-06,2303477e9baec6dcae485809878e150ed7454d789385068e588d3a078b4a52b6,70101,CALLAO,CALLAO,CALLAO,DENUNCIA,RESUELTA,PATRIMONIO,ROBO,ROBO AGRAVADO,2024-02-06,700,AV. LA CHALACA FRONTIS DE LA MZ. S DEL ASENT. H. DULANTO,DULANTO,2000-02-28,23,MASCULINO,SOLTERO,SECUNDARIA,NO INDICA,PERU,202402,-77.10490997,-12.03402724
2024-04-25,2024-02-15,6c0eff0a140e176ff73bd24fd541fcbf6bbc952d067659aa05f993d6ba027e83,70101,CALLAO,CALLAO,CALLAO,DENUNCIA,RESUELTA,LIBERTAD,VIOLACION SEXUAL,ACTOS CONTRA EL PUDOR DE MENORES,2023-12-20,900,AVENIDA PACHACUTEC SN DEL AAHH LUIS FELIPE DE LAS CASAS,VILLA LOS REYES,1981-08-15,42,MASCULINO,SOLTERO,SECUNDARIA,DOCENTE,PERU,202402,-77.131246,-12.0253402
2024-04-25,2024-02-08,4b5de763dd12fa056f7690bf6c94e811755f3abe81c070223f6ca669906f71f8,70101,CALLAO,CALLAO,CALLAO,DENUNCIA,RESUELTA,PATRIMONIO,ESTAFA,ESTAFA,2024-02-06,1400,AVENIDA CIRCUNVALACION MZ. O LT. 15 CALLAO (REFERENCIA INABIF),DULANTO,1998-04-03,25,FEMENINO,SOLTERO,SECUNDARIA,NO INDICA,PERU,202402,-77.106181,-12.0022957
2024-04-25,2024-02-29,ecc6bd62a699817c61fbcdcf4d2f281450d882c2237268ab9bd05ce7b510c239,70101,CALLAO,CALLAO,CALLAO,DENUNCIA,PENDIENTE,PATRIMONIO,ESTAFA,ESTAFA,2024-02-26,1720,RAMON CASTILLA VIA VIRTUAL,RAMON CASTILLA,2003-08-25,20,FEMENINO,SOLTERO,SECUNDARIA,NO INDICA,PERU,202402,-77.0954032,-12.0377735
2024-04-25,2024-02-29,8735aba5fd0a62072d1b0dbfb58cde992948ba562c41b8a525711e4808c1ee6e,70101,CALLAO,CALLAO,CALLAO,DENUNCIA VERBAL,PENDIENTE,VIOLENCIA A MUJERES Y GGVV,VIOLENCIA A MUJERES Y GGVV,VIOLENCIA PSICOLOGICA,2024-02-29,300,URB LOS ALAMOS ASOC LOS OLIVOS SANTA ROSA MZA A LOTE 05,CARMEN DE LA LEGUA,1992-11-03,31,MASCULINO,SOLTERO,SECUNDARIA,AGENTE DE SEGURIDAD,VENEZUELA,202402,-77.10884097,-11.99935699
2024-04-25,2024-02-05,d29c9ce4047560b392542046fb2822a1fbb8fa494d066c3c00d2ff01a799061d,70101,CALLAO,CALLAO,CALLAO,DENUNCIA,RESUELTA,PATRIMONIO,ROBO,ROBO AGRAVADO,2024-01-29,1700,AV. MORALES DUAREZ 1394  CALLAO 07026  PERU,RAMON CASTILLA,1977-12-30,46,MASCULINO,SOLTERO,SECUNDARIA,CHOFER,VENEZUELA,202402,-77.11694223,-12.04030699
2024-04-25,2024-02-12,cd6612d559c646d36873f509f3a319974b441fc90aabd268fa6f3f4b4dd0e460,70101,CALLAO,CALLAO,CALLAO,OCURRENCIA,PENDIENTE,PATRIMONIO,HURTO,HURTO AGRAVADO,2024-02-10,2000,FRONTIS DE LA TIENDA MASS AV DOMINICOS MZ D LT2 1 Y 2 URB LOS NARDOS,JUAN INGUNZA VALDIVIA,2002-01-17,22,MASCULINO,SOLTERO,SECUNDARIA,ESTUDIANTE,PERU,202402,-77.12450372,-12.05068122
2024-04-25,2024-02-14,6a508cade8c4e68b59d3ecff5dbf8d291caf17e0f2a5a32c3e9f473b38d0dbf0,70101,CALLAO,CALLAO,CALLAO,DENUNCIA VERBAL,RESUELTA,VIOLENCIA A MUJERES Y GGVV,VIOLENCIA A MUJERES Y GGVV,VIOLENCIA PSICOLOGICA,2024-02-13,1230,URB EL ALAMO MZ F LT 25 CALLAO,JUAN INGUNZA VALDIVIA,1996-06-14,27,FEMENINO,SOLTERO,SECUNDARIA,NO INDICA,PERU,202402,-77.1230628,-12.0566507
2024-04-25,2024-02-05,952f36569715d306dafb1f7af8c47b418325fcc0aa7153879bb075daabd5ff98,70104,CALLAO,CALLAO,LA PERLA,DENUNCIA,PENDIENTE,VIOLENCIA A MUJERES Y GGVV,VIOLENCIA A MUJERES Y GGVV,VIOLENCIA PSICOLOGICA,2024-02-02,2200,CALLE ARAGON 245 URB. LA MACARENA LA PERLA CALLAO,LA PERLA,1983-05-07,40,MASCULINO,SOLTERO,SECUNDARIA,NO INDICA,PERU,202402,-77.109472,-12.0752797
2024-04-25,2024-02-04,e406a614e5d342b80f7e1e3e529f4e855a9b7b5c49675e8067ab8af06845a453,70101,CALLAO,CALLAO,CALLAO,DENUNCIA VERBAL,RESUELTA,VIOLENCIA A MUJERES Y GGVV,VIOLENCIA A MUJERES Y GGVV,VIOLENCIA FISICA,2024-02-04,115,WVXF+MJ6  CALLAO 07001  PERU,RAMON CASTILLA,1985-12-24,38,MASCULINO,SOLTERO,SECUNDARIA,NO INDICA,PERU,202402,-77.12280856,-12.05011463
2024-04-25,2024-02-03,400bfc78b410d3f0ad949f22d772a70ebbfb5e027817072f291d9068fb09cd08,70101,CALLAO,CALLAO,CALLAO,DENUNCIA,RESUELTA,VIOLENCIA A MUJERES Y GGVV,VIOLENCIA A MUJERES Y GGVV,VIOLENCIA PSICOLOGICA,2023-11-12,2000,JR WASHINGTON 136 INT 1,CALLAO,2002-04-02,21,FEMENINO,SOLTERO,SECUNDARIA,NO INDICA,PERU,202402,-77.11055227,-12.0416236
2024-04-25,2024-02-04,7891d9e15f4a2c17786371d9668e587c0b0509d66b0e012c08b192d840384d50,70101,CALLAO,CALLAO,CALLAO,INTERVENCION,RESUELTA,VIOLENCIA A MUJERES Y GGVV,VIOLENCIA A MUJERES Y GGVV,VIOLENCIA FISICA,2024-02-03,1850,URB LAS FRESAS MZ K LT 18 CALLAO,JUAN INGUNZA VALDIVIA,2005-05-19,18,FEMENINO,SOLTERO,SECUNDARIA,NO INDICA,PERU,202402,-77.1126498,-12.0020113
2024-04-25,2024-02-10,b959cce908f4bfd7663e92c3af8947e90e7b70da725ce5a8b32ed5fec5ac06b1,70101,CALLAO,CALLAO,CALLAO,DENUNCIA VERBAL,RESUELTA,PATRIMONIO,ESTAFA,ESTAFA,2024-02-10,1000,AV ARGENTINA 6130,LA LEGUA,1994-07-14,29,MASCULINO,SOLTERO,SECUNDARIA,NO INDICA,PERU,202402,-77.08371262,-12.04763382
2024-04-25,2024-02-10,5d3ecaada906df533bdaa2c3a47cbd52507f16873258716a991ca01dcac305b3,70101,CALLAO,CALLAO,CALLAO,DENUNCIA,RESUELTA,PATRIMONIO,ESTAFA,ESTAFA,2024-02-01,1100,MZD 16 LOTE 30 BOCANEGRA,BOCANEGRA,1992-03-04,31,MASCULINO,SOLTERO,SECUNDARIA,NO INDICA,PERU,202402,-77.09585121,-12.0065804
2024-04-25,2024-02-21,fbc05e43aaa6ef4866a1c8408ee886fb2011cdbc1f78f7499a2fd00801d82a7b,70101,CALLAO,CALLAO,CALLAO,DENUNCIA,RESUELTA,ADMINISTRACION PUBLICA,COMETIDOS POR PARTICULARES,DESOBEDIENCIA O RESISTENCIA A LA AUTORIDAD,2024-02-21,1600,URB. SANTA MARINA MZ. B LT-13 VIRGEN DE FATIMA CALLAO,CALLAO,2001-04-20,22,MASCULINO,SOLTERO,SECUNDARIA,NO INDICA,PERU,202402,-77.12742687,-12.0538298
2024-04-25,2024-02-04,15b2d7e43e48fdaad4e6c37f2a65b8a903487b93b34da527b8283603eae69a1d,70106,CALLAO,CALLAO,VENTANILLA,INTERVENCION,RESUELTA,VIOLENCIA A MUJERES Y GGVV,VIOLENCIA A MUJERES Y GGVV,VIOLENCIA FISICA,2024-02-03,2200,MZ B1 LOTE 13 AMPLIACION B3 AV 225,PACHACUTEC,2003-06-21,20,MASCULINO,SOLTERO,SECUNDARIA,INDEPENDIENTE,PERU,202402,-77.14958431,-11.83221924
2024-04-25,2024-02-05,d653921c96569a03ad96ddc52f6d1d6bfa33395f71d160511048e9545c9ad451,70101,CALLAO,CALLAO,CALLAO,DENUNCIA,RESUELTA,PATRIMONIO,ESTAFA,ESTAFA,2024-02-05,1100,AV. DOMINICOS Y TOMAS VALLE CALLAO,BOCANEGRA,1977-12-25,46,FEMENINO,SOLTERO,SECUNDARIA,EMPLEADA,PERU,202402,-77.09447808,-12.01240034
2024-04-25,2024-02-18,c2098eb935e48321185c56a7e7da431b1152ba403b1261319791632c972ac861,70101,CALLAO,CALLAO,CALLAO,DENUNCIA,RESUELTA,LIBERTAD,VIOLACION SEXUAL,ACOSO SEXUAL,2024-02-17,2330,RAMON CASTILLA MZ R LT 11 CALLE AYACUCHO,RAMON CASTILLA,1978-03-08,45,FEMENINO,SOLTERO,SECUNDARIA,NO INDICA,PERU,202402,-77.1250187,-12.05007266
2024-04-25,2024-02-26,e5a6fe0d7ad0a8f82dc6e93be7896a5a4f232a9916a1fbb03341c42c9627e624,70101,CALLAO,CALLAO,CALLAO,DENUNCIA,RESUELTA,LIBERTAD,VIOLACION SEXUAL,VIOLACION SEXUAL,2024-02-26,500,MZ. D LT 8 GAMBETA BAJA CALLAO,DULANTO,2001-10-17,22,FEMENINO,SOLTERO,SECUNDARIA,NO INDICA,PERU,202402,-77.11448208,-11.99936591
